,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
454,CC610101,68,10,0,1.671741902,1.566198908,1.544198549,1.303734234,1.392447306,1.266327222,1.42914,1.473295996,1.384797023,1.424217076,1.417909906,1.366881949,6
490,CC620121,68,-90,0,1.72677534,1.294708282,1.690823036,1.292427888,1.568721681,1.284894054,1.676913708,1.391622445,1.464147258,1.257773742,1.59546396,1.337127605,6
495,CC620259,68,100,1,1.758937565,1.830841484,1.62034176,1.669754719,1.546102018,1.565212952,1.690260772,1.350162415,1.62857747,1.292606166,1.549003312,1.372014127,6
502,CC620359,68,89,0,1.978143849,1.799924011,1.858999753,1.300359731,1.45541936,1.43583553,1.616867714,1.37795085,1.537626125,1.521451793,1.278991349,1.442108463,6
504,CC620406,68,-41,0,1.689376889,1.746155886,1.556852102,1.271535285,1.499561073,1.530020211,1.393935477,1.377627492,1.347568927,1.357696291,1.525211803,1.34764584,6
451,CC610071,69,100,1,1.682883225,1.723232796,1.590577594,1.557626305,1.505243305,1.391835415,1.494130234,1.493807186,1.276275899,1.320823683,1.303937177,1.277989702,6
453,CC610099,69,89,1,1.742815623,1.662237159,1.540854116,1.579301893,1.49031781,1.600865697,1.440733157,1.324843741,1.315271181,1.352135644,1.315461688,1.294158819,6
461,CC610288,69,100,0,1.858858316,1.497180392,1.704292843,1.909982205,1.592562592,1.428212446,1.587893668,1.571636836,1.455004688,1.245965428,1.516981603,1.258603089,6
463,CC610308,69,89,0,1.402033128,1.282392967,1.56451904,1.31690165,1.554419105,1.376499358,1.539545821,1.387112217,1.441828111,1.243664352,1.423034221,1.271044936,6
475,CC610594,69,100,1,1.353780721,1.305004374,1.327096209,1.301703186,1.335502749,1.278124782,1.313901386,1.277431551,1.307568335,1.277226108,1.307085148,1.266154562,6
484,CC620073,69,100,0,1.724305804,1.395129388,1.371133054,1.357018173,1.406535658,1.331958523,1.320963686,1.267544502,1.303323503,1.257505918,1.31326617,1.41251123,6
496,CC620262,69,90,1,1.887861543,1.280630327,1.634051255,1.286037277,1.566667973,1.631314217,1.498920186,1.518261146,1.451265088,1.460888656,1.360616754,1.378473315,6
506,CC620429,69,100,0,1.719665389,1.749073059,1.658150162,1.58126714,1.547793486,1.293864635,1.476763412,1.502167348,1.475422934,1.357859439,1.348609466,1.251676843,6
512,CC620479,69,100,0,1.702398702,1.287252103,1.555230533,1.344620739,1.862879208,1.473258944,1.691650152,1.379454174,1.376635758,1.324564466,1.416153733,1.324034738,6
529,CC620785,69,100,0,1.716759875,1.599697242,1.620425068,1.514701452,1.706576508,1.413465623,1.508100977,1.60701495,1.35988852,1.345355729,1.40242338,1.24250989,6
